sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
He has coagulated blood.,blood,blood,7,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He has thin blood.,blood,blood,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He has noble blood.,blood,blood,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was the ironing board.,board,board,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was the wooden board.,board,board,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was the executive board.,board,board,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a best-selling book.,book,book,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a popular book.,book,book,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a heavy book.,book,book,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He broke the glass.,break,broke,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He broke the dish.,break,broke,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He broke the law.,break,broke,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They ate a pancake breakfast.,breakfast,breakfast,10,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They ate a nutritious breakfast.,breakfast,breakfast,11,2,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They ate a family breakfast.,breakfast,breakfast,8,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They called the landlord.,call,called,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They called the police.,call,called,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They called the loan.,call,called,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a red cape.,cape,cape,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a flowing cape.,cape,cape,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a rocky cape.,cape,cape,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a beer case.,case,case,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a display case.,case,case,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a divorce case.,case,case,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She cast a shadow.,cast,cast,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She cast a glow.,cast,cast,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She cast a spear.,cast,cast,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a worthy cause.,cause,cause,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a political cause.,cause,cause,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a main cause.,cause,cause,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a skin cell.,cell,cell,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a brain cell.,cell,cell,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a prison cell.,cell,cell,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a devilish charm.,charm,charm,9,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a natural charm.,charm,charm,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a gold charm.,charm,charm,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He checked the engine.,check,checked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He checked the oven.,check,checked,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He checked the alibi.,check,checked,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the juicy chicken.,chicken,chicken,9,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the roasted chicken.,chicken,chicken,10,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the clucking chicken.,chicken,chicken,10,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a perceptive class.,class,class,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a misbehaving class.,class,class,9,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a boring class.,class,class,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He cleared the desk.,clear,cleared,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He cleared the shelf.,clear,cleared,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He cleared the path.,clear,cleared,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a film clip.,clip,clip,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a video clip.,clip,clip,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a hair clip.,clip,clip,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The dancer clogged.,clog,clogged,6,3,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The choreographer clogged.,clog,clogged,8,3,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The pipe clogged.,clog,clogged,6,3,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an icy cold.,cold,cold,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a freezing cold.,cold,cold,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a chest cold.,cold,cold,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a gossip column.,column,column,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a sports column.,column,column,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a concrete column.,column,column,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the investment company.,company,company,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the pharmaceutical company.,company,company,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the pleasant company.,company,company,9,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a waffle cone.,cone,cone,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a sugar cone.,cone,cone,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an orange cone.,cone,cone,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He made a charitable contribution.,contribution,contribution,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He made a voluntary contribution.,contribution,contribution,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He made a scholarly contribution.,contribution,contribution,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was the noble count.,count,count,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was the vengeful count.,count,count,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was the final count.,count,count,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an introductory course.,course,course,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a pass-fail course.,course,course,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a charted course.,course,course,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He crossed a road.,cross,crossed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He crossed a room.,cross,crossed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He crossed an enemy.,cross,crossed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a dinner date.,date,date,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a blind date.,date,date,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an expiration date.,date,date,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was about forty degrees.,degree,degrees,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was about fifty degrees.,degree,degrees,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was about associate degrees.,degree,degrees,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the floral design.,design,design,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the geometric design.,design,design,9,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the product design.,design,design,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the turkey dinner.,dinner,dinner,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the light dinner.,dinner,dinner,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the formal dinner.,dinner,dinner,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They drained the account.,drain,drained,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They drained the budget.,drain,drained,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They drained the pool.,drain,drained,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He drew a gun.,draw,drew,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He drew a sword.,draw,drew,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He drew a tree.,draw,drew,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a recurring dream.,dream,dream,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a bad dream.,dream,dream,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a childhood dream.,dream,dream,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a grueling drill.,drill,drill,9,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a challenging drill.,drill,drill,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an electric drill.,drill,drill,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a multiple-choice examination.,examination,examination,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a difficult examination.,examination,examination,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a prostate examination.,examination,examination,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had an electric fan.,fan,fan,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had a ceiling fan.,fan,fan,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had a zealous fan.,fan,fan,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a text file.,file,file,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a data file.,file,file,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a nail file.,file,file,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an action film.,film,film,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a censored film.,film,film,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a transparent film.,film,film,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They fixed the radio.,fix,fixed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They fixed the dishwasher.,fix,fixed,7,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They fixed the date.,fix,fixed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a charitable foundation.,foundation,foundation,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an educational foundation.,foundation,foundation,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a wooden foundation.,foundation,foundation,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a mathematical function.,function,function,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a linear function.,function,function,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a social function.,function,function,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was on the firm ground.,ground,ground,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was on the frozen ground.,ground,ground,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was on the camp ground.,ground,ground,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the night guard.,guard,guard,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the security guard.,guard,guard,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the coast guard.,guard,guard,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had an assembly guide.,guide,guide,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a TV guide.,guide,guide,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a talkative guide.,guide,guide,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They hailed a cab.,hail,hailed,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They hailed a taxi.,hail,hailed,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They hailed a friend.,hail,hailed,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a summer home.,home,home,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a childhood home.,home,home,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a funeral home.,home,home,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had natural intelligence.,intelligence,intelligence,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had innate intelligence.,intelligence,intelligence,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had classified intelligence.,intelligence,intelligence,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a sensitive issue.,issue,issue,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a political issue.,issue,issue,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a weekly issue.,issue,issue,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a blackberry jam.,jam,jam,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a peach jam.,jam,jam,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a traffic jam.,jam,jam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a duplicate key.,key,key,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a master key.,key,key,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a delete key.,key,key,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the marinated lamb.,lamb,lamb,9,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the grilled lamb.,lamb,lamb,10,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the cute lamb.,lamb,lamb,9,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She lapped the milk.,lap,lapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She lapped the water.,lap,lapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She lapped the runners.,lap,lapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She loaded the gun.,load,loaded,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She loaded the rifle.,load,loaded,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She loaded the truck.,load,loaded,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had curly locks.,lock,locks,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had brown locks.,lock,locks,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had window locks.,lock,locks,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the hot lunch.,lunch,lunch,8,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the sandwich lunch.,lunch,lunch,9,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the afternoon lunch.,lunch,lunch,8,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the flea market.,market,market,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the fish market.,market,market,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the housing market.,market,market,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a lit match.,match,match,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a burning match.,match,match,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a soccer match.,match,match,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was cough medicine.,medicine,medicine,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was prescription medicine.,medicine,medicine,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was orthopedic medicine.,medicine,medicine,8,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a phone message.,message,message,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a computer message.,message,message,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was an urgent message.,message,message,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a fungal mold.,mold,mold,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a harmful mold.,mold,mold,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a rubber mold.,mold,mold,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the cancerous mole.,mole,mole,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the raised mole.,mole,mole,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the cute mole.,mole,mole,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the rhythmic movement.,movement,movement,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the graceful movement.,movement,movement,9,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the feminist movement.,movement,movement,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a national newspaper.,newspaper,newspaper,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a daily newspaper.,newspaper,newspaper,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a faded newspaper.,newspaper,newspaper,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a juicy orange.,orange,orange,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a ripe orange.,orange,orange,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a bright orange.,orange,orange,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the young page.,page,page,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the loyal page.,page,page,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the blank page.,page,page,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a calloused palm.,palm,palm,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a wrinkled palm.,palm,palm,9,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a tropical palm.,palm,palm,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a control panel.,panel,panel,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an instrument panel.,panel,panel,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an advisory panel.,panel,panel,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a secret passage.,passage,passage,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a narrow passage.,passage,passage,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a literary passage.,passage,passage,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She penned her animals.,pen,penned,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She penned her livestock.,pen,penned,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She penned her memoirs.,pen,penned,8,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a tasty perch.,perch,perch,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a freshwater perch.,perch,perch,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a lofty perch.,perch,perch,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He picked his coffee.,pick,picked,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He picked his dinner.,pick,picked,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He picked his scab.,pick,picked,7,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the fast pitcher.,pitcher,pitcher,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the right-handed pitcher.,pitcher,pitcher,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the glass pitcher.,pitcher,pitcher,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She poached the deer.,poach,poached,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She poached the bear.,poach,poached,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She poached the eggs.,poach,poached,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a windy port.,port,port,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a seaside port.,port,port,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a delicious port.,port,port,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was in a distinguished position.,position,position,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was in a prominent position.,position,position,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was in a fetal position.,position,position,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a wooden post.,post,post,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a fence post.,post,post,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a teaching post.,post,post,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had the alcoholic punch.,punch,punch,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had the fruit punch.,punch,punch,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had the strongest punch.,punch,punch,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a brilliant pupil.,pupil,pupil,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had an interested pupil.,pupil,pupil,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a dilated pupil.,pupil,pupil,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He pushed the cocaine.,push,pushed,7,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He pushed the drugs.,push,pushed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He pushed the bed.,push,pushed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was a loud racket.,racket,racket,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was an annoying racket.,racket,racket,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was a badminton racket.,racket,racket,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked electronic rock.,rock,rock,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked alternative rock.,rock,rock,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked limestone rock.,rock,rock,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She ran the marathon.,run,ran,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She ran the race.,run,ran,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She ran the shop.,run,ran,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the wise sage.,sage,sage,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the renowned sage.,sage,sage,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the fragrant sage.,sage,sage,9,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a fish scale.,scale,scale,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
